Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
US20120166925,29.06.2012,AUTOMATIC FEED CREATION FOR NON-FEED ENABLED INFORMATION OBJECTS,NA,G06F 17/00,"Boerries Marco;Ott, IV Edward Stanley;Saft Keith David;Davis Marc Eliot;Kumar Amit;Jessen Erik Nis;Chum Jonathan Merrel;Grinsted George;Parry Lee John;Taggart Adam","Boerries Marco;Ott, IV Edward Stanley;Saft Keith David;Davis Marc Eliot;Kumar Amit;Jessen Erik Nis;Chum Jonathan Merrel;Grinsted George;Parry Lee John;Taggart Adam",NA
US20130340935,27.12.2013,METHOD FOR FORMING A HEAT-REFLECTIVE BLANK AND CONTAINER,NA,B29C 65/52,"Rock-Tenn Shared Services, LLC;Rock-Tenn Shared Services, LLC",Shanton Kenneth John;Haschke Paul Charles,NA
WO1989004585,19.05.1989,SUSCEPTOR IN COMBINATION WITH GRID FOR MICROWAVE OVEN PACKAGE,"[119,381 10.11.1987 US]",B65D 81/34,THE PILLSBURY COMPANY,"WENDT, Dan, J.;KEMSKE, Jonathon, D.;PESHECK, Peter, S.",NA
WO1994028743,23.12.1994,FOOD PRODUCTS CONTAINING ?-GLUCAN ENRICHED FIBER,"[08/076,133 14.06.1993 US]",A21D 2/36;A21D 13/00;A21D 13/08;A23C 9/13;A23C 9/137;A23L 1/10;A23L 1/164;A23L 1/308;A23L 1/314,"ALKO LTD.;PULLINEN, Timo;LEHTOM€KI, Ilkka","PULLINEN, Timo;LEHTOM€KI, Ilkka",NA
WO1997003572,07.02.1997,STABILISATION OF MICROWAVE HEATED FOODS,"[9514542.1 15.07.1995 GB, 9514543.9 15.07.1995 GB]",A23C 19/09;A23L 1/00;A23L 1/01;A23L 1/0522;A23L 1/0526;A23L 1/0534;A23L 1/054;A23L 1/212;A23L 1/308;A23L 1/31;A23L 1/315;A23L 1/317;A23L 1/325,"NOVUS FOODS LIMITED;PICKFORD, Keith","PICKFORD, Keith",NA
WO2006070269,07.07.2006,INSTALLATION FOR REHEATING PORTIONED CHILLED OR FROZEN SNACK FOOD PRODUCTS,[04031002.1 30.12.2004 EP],H05B 6/80;H05B 6/64,"NIEMETZ, Walter","NIEMETZ, Walter",NA
WO2004097341,12.11.2004,ROUTE OPTIMIZATION APPARATUS & METHOD,[2003902042 30.04.2003 AU],G01C 21/34;G08G 1/0968,"NEXTSPACE TECHNOLOGIES PTY LTD;GRAY, Don, Chanachok;BAHIR, Ahmad;LA, Nhut, Luke;WONG, Ben","GRAY, Don, Chanachok;BAHIR, Ahmad;LA, Nhut, Luke;WONG, Ben",NA
WO2004030414,09.04.2004,CUSTOMER-ENGAGING FOOD MERCHANDISING MODULE,"[10/256,801 27.09.2002 US]",H05B 6/80,"J.H. TRADEMARK COMPANY, L.L.C.;GREENBURG, Mark","GREENBURG, Mark",NA
WO1999030565,25.06.1999,LIGHTWAVE OVEN HAVING AUTOMATIC FOOD CONVEYOR,"[60/069,813 17.12.1997 US, 09/212,892 16.12.1998 US]",A21B 1/22;A21B 1/48,"QUADLUX, INC.","WESTERBERG, Eugene, R.;MINNEAR, William, P.;SEHESTEDT, William, H.",NA
WO2014138263,13.09.2014,SHELF-STABLE SNACK WITH TEXTURED SAUCE,"[US 20130305 13/785,929]",A23L 1/164;A23L 3/18;A23P 1/12,"FRTO-LAY NORTH AMERICA, INC.","ANAND, Ashish;ANNAPRAGADA, Kiran;VAMSHIDHAR, Puppala;TRINH, Ngoc;WOELFE, Chad",NA
US20030028885,07.02.2003,Navigational user interface for interactive television,"[09195167 1998-11-19T23:59:59.000Z US, 10264242 2002-10-03T23:59:59.000Z US]",G06F 3/00;G06F 17/60;H04N 5/445;G06F 13/00;H04N 5/445;H04N 5/445,NA,Wilcox Scott;Montgomery Robert A.;McDonald Thomas;Rao Praveen;Spencer Deborah A.,NA
US20030046700,07.03.2003,Navigational user interface for interactive television,"[09195167 1998-11-19T23:59:59.000Z US, 10266780 2002-10-08T23:59:59.000Z US]",G06F 3/00;H04N 7/16;H04N 5/445;G06F 13/00;H04N 5/445;G06F 17/60;H04N 5/445,NA,Wilcox Scott;Montgomery Robert A.;McDonald Thomas;Rao Praveen;Spencer Deborah A.,NA
US6678891,14.01.2004,Navigational user interface for interactive television,[09195167 1998-11-19T23:59:59.000Z US],G06F 3/00;H04N 5/445;H04N 5/445;G06F 13/00;H04N 5/445,"Prasara Technologies, Inc.","Wilcox, Scott;Montgomery, Robert A;McDonald, Thomas;Roa, Praveen;Spencer, Deborah A",NA
US5878126,03.03.1999,Method for routing a call to a destination based on range identifiers for geographic area assignments,NA,H04M 3/42;H04Q 3/00;H04Q 3/00;H04Q 3/64;H04Q 3/66,BellSouth Corporation,Velamuri Syama S.;Torbert Julia B.,NA
US20100076829,26.03.2010,Dynamically and predictively updating mobile devices as mobile users pass through projected locations,NA,G06Q 30/00;G01C 21/32;G06F 7/00;G06F 15/16,"Bishop Michael L.;AT&T Intellectual Property I, L.P.",Bishop Michael L.,NA
US20140188621,04.07.2014,Dynamically and Predictively Updating Mobile Devices as Mobile Users Pass Through Projected Locations,NA,G06Q 30/02,"AT&T Intellectual Property I, L.P.;AT&T Intellectual Property I, L.P.",Bishop Michael L.,NA
EP0242952,29.10.1987,COMPOSITE MATERIAL CONTAINING MICROWAVE SUSCEPTOR MATERIALS,"[2980  , 832287  , US19860832287  , US19870002980  , 298087 1987-01-23T23:59:59.000Z US, 83228786 1986-02-21T23:59:59.000Z US]",H05B 6/64;B65D 81/34,E.I. DU PONT DE NEMOURS AND COMPANY,"HUANG, HUA-FENG;PLORDE, DONALD EDWARD",NA
CA1274126,19.09.1990,COMPOSITE MATERIAL CONTAINING MICROWAVE SUSCEPTOR  MATERIALS,"[002,980 1987-01-23T23:59:59.000Z US, 832,287 1986-02-21T23:59:59.000Z US]",B65D 81/34;F24C 7/02,NA,"HUANG, HUA-FENG;PLORDE, DONALD EDWARD",NA
CA2703768,08.05.2009,METHOD OF AND SYSTEM FOR AUTOMATICALLY SWITCHING BETWEEN FREE DIRECTORY ASSISTANCE SERVICE AND CHARGEABLE DIRECTORY ASSISTANCE SERVICE,"[12/257,454 2008-10-24T23:59:59.000Z US, 60/983,897 2007-10-30T23:59:59.000Z US]",H04M 3/493;H04M 3/54,"VOLT DELTA RESOURCES, LLC","OLDACH, RICHARD J.;PELLEGRINO, MICHAEL;SCOTT, DWIGHT E.;DETRIE, ROBERT C.",NA
EP2672403,12.12.2013,A system for generating search results including searching by subdomain hints and providing sponsored results by subdomain,"[04758906 2004-04-05T23:59:59.000Z EP, 46065803 2003-04-04T23:59:59.000Z US]",G06F 17/30,YAHOO INC,DIAB ALI;GATZ SCOTT A;KAPUR SHYAM;KU DAVID;KUNG CHUCK;HOANG PHU;LU QI;POGUE LYNNE;SHEN YUAN JUI;SHI NORMAN;TRAN THAI,NA
WO2005107487,18.11.2005,BLENDED CHEESES AND METHODS FOR MAKING SUCH CHEESES,"[60/568,022 03.05.2004 US]",A23C 19/00,"LEPRINO FOODS COMPANY;MERRILL, Richard, K.;SINGH, Mayank","MERRILL, Richard, K.;SINGH, Mayank",NA
CA2655473,22.12.2007,FAMILY CODE DETERMINATION USING BRAND AND SUB-BRAND,"[60/813,506 2006-06-14T23:59:59.000Z US]",G06Q 30/02,"MICHELS, JANE","MICHELS, JANE",NA
WO2012083518,29.06.2012,METHODS AND SYSTEMS FOR AUTOMATED BUSINESS DIALING,NA,H04M 3/42,"SHANGHAI CHULE (COOTEK) INFORMATION TECHNOLOGY CO, LTD.;WANG, Jialiang;ZHANG, Kan;ZHAO, Yang;XIE, Haichao","WANG, Jialiang;ZHANG, Kan;ZHAO, Yang;XIE, Haichao",NA
US20040024670,06.02.2004,Rights management system using legality expression language,"[10425036 2003-04-29T23:59:59.000Z US, 60375808 2002-04-29T23:59:59.000Z US, 60411789 2002-09-19T23:59:59.000Z US]",G06F 17/60;G06F 21/00;G06F 21/00;G07C 9/00;G07C 9/00,"ContentGuard Holdings, Inc.",Valenzuela Edgar;Tadayon Bijan;Fung Joseph Zhung Yee;Wang Xin,NA
US4154861,16.05.1979,Heat treatment of food products,NA,A21B 1/24;A23L 1/01;A23L 3/005;A23L 3/36;A23L 3/365;A47J 39/00;F24C 15/32,SMITH DONALD P,Smith Donald P.,NA
US4409453,12.10.1983,Combined microwave and impingement heating apparatus,[05687982 1976-05-19T23:59:59.000Z US],A21B 1/24;A23L 1/01;A23L 3/005;A23L 3/10;A23L 3/16;A23L 3/365;F24C 15/32;H05B 6/80,SMITH DONALD P,Smith Donald P.,NA
US4338911,14.07.1982,Cooking apparatus,[05687982 1976-05-19T23:59:59.000Z US],A21B 1/24;A23L 1/01;A23L 3/005;A23L 3/36;A23L 3/365;A47J 39/00;F24C 15/32;H05B 6/80,SMITH DONALD P,Smith Donald P.,NA
US4252055,25.02.1981,Tunnel-chamber baking oven,[7807003 1978-06-19T23:59:59.000Z SE],A21B 1/00;A21B 1/24;A21B 1/48;A47J 37/04;A47J 37/04;F24C 15/32;F24C 15/32,Tipe Reven AB,Johansson Leif A. T.;Pers Nils G.;Lundgren Staffan,NA
US4289792,16.09.1981,Microwave treatment of food products,[05687982 1976-05-19T23:59:59.000Z US],A23L 1/01;A23L 3/005;A23L 3/16;A23L 3/365;H05B 6/80,SMITH DONALD P,Smith Donald P.,NA
US4388329,15.06.1983,Process for the production of a pasteurized cheese in powder form,[00533380 1980-07-11T23:59:59.000Z CH],A23C 9/12;A23C 9/12;A23C 19/00;A23C 19/028;A23C 19/086,Societe d'Assistance Technique pour Produits Nestle S.A.,Buhler Marcel;Olofsson Mats,NA
US5832800,11.11.1998,Club sandwich cutter,NA,B26D 7/02;A21C 15/00;A21C 15/04;B26B 29/00;B26B 29/06;B26D 3/24;B26D 3/24,DONOGHUE; TERENCE,Donoghue Terence,NA
US5838247,18.11.1998,Solid state light system,NA,G08B 5/22;F21K 99/00;F21K 99/00;F21S 8/00;F21S 8/00;G08G 1/095;G08G 1/095;G09F 9/33;G09F 9/33,BLADOWSKI; WITOLD S.,Bladowski Witold S.,NA
US5823174,21.10.1998,Portable cooking device with vertically arranged hearth,NA,F24B 3/00;A47J 37/07;A47J 37/07,ANDRESS; ALFONSO G.,Andress Alfonso G.,NA
US4859529,23.08.1989,"Fibers, fabrics and flexible porous substrates sized with a curable hydrophilic silicone polyether polymer",[07024187 1987-03-10T23:59:59.000Z US],D02G 3/00;C08G 77/06;C08G 59/00;C08G 59/00;C08G 65/00;C08G 65/32;C08G 65/332;C08G 65/336;C08L 63/00;C08L 63/00;D06M 15/37;D06M 15/647,General Electric Co.,Raleigh William J.;Doin James E.;Traver Frank J.,NA
US5350904,28.09.1994,Susceptors having disrupted regions for differential heating in a microwave oven,"[07197634 1988-05-23T23:59:59.000Z US, 07798357 1991-11-21T23:59:59.000Z US]",A47J 36/02;H05B 6/80;B65D 81/34;B65D 81/34;B65D 81/34;H05B 6/64,The Pillsbury Company,Kemske Jonathan D.;Consaul James R.;Rosenwald Diane R.;Shomo Robert B.;Wendt Dan J.,NA
US5217765,09.06.1993,Microwave oven susceptor,[07574736 1990-08-30T23:59:59.000Z US],B41M 3/00;B41M 3/00;B65D 81/34;B65D 81/34;C09D 11/02;C09D 11/02;D21H 27/10;D21H 27/10,Vestvaco Corporation,Parks Christopher J.,NA
US5220143,16.06.1993,Susceptors having disrupted regions for differential heating in a microwave oven,[07197634 1988-05-23T23:59:59.000Z US],B65D 81/34;B65D 81/34,The Pillsbury Company,Kemske Jonathon D.;Consaul James R.;Rosenwald Diane R.;Shomo Robert B.;Wendt Dan J.,NA
US5132144,22.07.1992,Microwave oven susceptor,NA,B41M 3/00;B41M 3/00;B65D 81/34;B65D 81/34;C09D 11/02;C09D 11/02;D21H 27/10;D21H 27/10,Westvaco Corporation,Parks Christopher J.,NA
US5035760,31.07.1991,Method of indicating a location,NA,G09F 13/20;G09F 13/20;G09F 23/00;G09F 23/00,SIRIANNO JAMES P,Sirianno James P.,NA
US6172347,10.01.2001,Microwave oven with halogen lamps,[19980030648 1998-07-29T23:59:59.000Z KR],H05B 6/28;F24C 7/00;F24C 7/06;H05B 6/80;H05B 6/80,LG Electronics Inc.,"Lee, Kwan-Ho",NA
US20010032838,26.10.2001,Rapid cooking device using infrared light,[1020000015330 2000-03-25T23:59:59.000Z KR],F27D 11/00;A21B 1/22;F24C 7/02;F24C 7/06;H01K 1/50;H05B 3/44;H05B 6/80,LG Electronics Inc.,"Kim, Yang Kyeong;Ryu, Jong Gwan;Kim, Wan Soo;Han, Sung Jin",NA
US5888574,31.03.1999,Process to improve color stability of fruits and vegetables containing carotenoids,[96200624 1996-03-07T23:59:59.000Z EP],A23L 1/272;A23B 7/06;A23B 7/14;A23B 7/14;A23L 1/10;A23L 1/10;A23L 1/212;A23L 1/212;A23L 1/221;A23L 1/221;A23L 1/27;A23L 1/275;A23L 3/3463;A23L 3/3472,"Nestec SA.,",Wissgott Ulrich,NA
US5983503,17.11.1999,Round food cutter,NA,A21C 5/08;A21C 15/00;A21C 15/04,DIMAULO; MICHAEL A.,DiMaulo Michael A.,NA
US20030069666,11.04.2003,Method for automated placement of articles onto a support,"[10149855 2001-10-10T23:59:59.000Z DE, 10160061 2001-12-06T23:59:59.000Z DE]",G06F 7/00;B25J 9/16;B25J 9/16;B25J 9/22;B25J 9/22;G05B 19/418;G05B 19/418,imt robot AG,"Nagler, Peter",NA
US5873300,24.02.1999,Apparatus for heating food,NA,A47J 36/26;A47J 39/02,KUHLMAN; DELMAR A.,Kuhlman Delmar A.,NA
US20020004746,11.01.2002,E-coupon channel and method for delivery of e-coupons to wireless devices,"[09835396 2001-04-17T23:59:59.000Z US, 60198092 2000-04-17T23:59:59.000Z US]",G06F 17/60;G06Q 30/00;G06Q 30/00,FERBER JOHN B.;SCHLEIDER ALECK H.;DEMAYO JOHN F.,Ferber John B.;Schleider Aleck H.;Demayo John F.,NA
US6694619,25.02.2004,Disposable food cutting utensil,[09931627 2001-08-16T23:59:59.000Z US],B65D 85/36;B26B 3/00;B26B 3/00;B65D 77/24;B65D 85/36,STECK JOHN EDWARD;HAMILTON ROBERT;MARTIN JAMES,"Steck, John Edward;Hamilton, Robert;Martin, James",NA
US20060000828,06.01.2006,Microwave susceptor for food packaging,[15614705 2005-06-17T23:59:59.000Z US],H05B 6/80;H05B 6/80,WATKINS JEFFREY T,Watkins Jeffrey T.,NA
US20050144907,08.07.2005,Material,[0220300 2002-08-31T23:59:59.000Z GB],B67B 1/10;A47J 41/00;A47J 41/00;A47J 47/00;A47J 47/14;B65D 81/34;B65D 81/34;B65D 81/38;B65D 81/38,NA,Heaney James Martin,NA
US20070265773,16.11.2007,USER FRIENDLY METHOD OF COMPUTER GENERATING MAPS FOR REGIONAL DELIVERY SERVICES,NA,G01C 21/00;G01C 21/00,HATELY ANDREW D;STERLING MERLE D,HATELY ANDREW D.;Sterling Merle D.,NA
US20060191423,01.09.2006,Injection apparatus for producing molded food products,NA,B29C 45/02;B29C 45/02,Sergeant's Pet Care Products Inc.,Nie Li;Parker Michael Douglas;Bassi Sukh D.;Maningat Clodualdo C.,NA
US20080206400,29.08.2008,Bread-Improving Agent and Bread Products Using the Same,"[2004366085 2004-12-17T23:59:59.000Z JP, 2005223724 2005-08-02T23:59:59.000Z JP]",A21D 8/04,YOKOYAMA HITOSHI;KOSEKI TAKAYA,Yokoyama Hitoshi;Koseki Takaya,NA
US20090257304,16.10.2009,Electronic manager for bread dough mixers and operating method,[200501868 2005-07-29T23:59:59.000Z ES],B01F 15/02,Brisciani Roberto,Brisciani Roberto,NA
US20090143488,05.06.2009,"Peptides imparting umami, salt, dairy and bitter flavor",NA,A61K 47/42;A61K 47/42;A23L 1/226;A23L 1/227,NA,Trinnaman Laurence;Liu Zhihua;Psota-Kelty Linda Ann;Chen Zhen,NA
US20090119610,08.05.2009,AGENT TO OFFER IN-CONTEXT HELP,NA,G06F 3/048;G06F 3/048,YAHOO! INC.,Raffel Daniel Joseph;Trevor Jonathan James;Sadri Pasha;Ho Edward,NA
US20090230126,18.09.2009,Elevated microwave heating tray,[US07082477 2007-10-25T23:59:59.000Z WO],H05B 6/64,"Fitzwater Kelly R.;Graphic Packaging International, Inc.",Fitzwater Kelly R.,NA
US20100192784,06.08.2010,"COOKING APPLIANCE, CONTROLLING SYSTEM FOR COOKING APPLIANCE AND CONTROLLING METHOD FOR COOKING APPLIANCE","[1020070003283 2007-01-11T23:59:59.000Z KR, 1020070003285 2007-01-11T23:59:59.000Z KR, 1020070003299 2007-01-11T23:59:59.000Z KR, 1020070007801 2007-01-25T23:59:59.000Z KR]",A47J 36/00;A47J 36/00,LG Electronics Inc.,Shim Mi Hwa;Park Jun Hyun;Yi Soo Cheol;Park Won Kyoung,NA
US20110282764,18.11.2011,VIRTUAL PARTIES AND PACKS,NA,G06Q 30/00,GANZ,Borst Karl Joseph;Kwant Michael;Boyd Jessica,NA
US20110124353,27.05.2011,METHOD TO CONVERT AND SHARE SHORT MESSAGE SERVICE MESSAGES ON WEBSITES,NA,H04W 4/12,Huda Naushad,Huda Naushad,NA
US20120296742,23.11.2012,ADVERTISING UTILIZING DEVICE-TO-DEVICE INTERACTIONS,NA,G06Q 30/00,Patwa Pritesh;Markov Martin M.;Chung Wook Jin,Patwa Pritesh;Markov Martin M.;Chung Wook Jin,NA
US20110191194,05.08.2011,Method and apparatus for generating menu information,NA,G06F 17/30;G06F 7/00,"Lutnick Howard W.;CFPH, LLC;Sims Colin;Jordan Jesse;Blosser Christopher;Mohalanobish Siddhant",Lutnick Howard W.;Sims Colin;Jordan Jesse;Blosser Christopher;Mohalanobish Siddhant,NA
US20130256303,04.10.2013,Elevated Microwave Heating Tray,NA,B65D 5/42,"Graphic Packaging International, Inc.;Graphic Packaging International, Inc.",Fitzwater Kelly R.,NA
US20130172014,05.07.2013,WIRELESS COMMUNICATION SYSTEM WITH POTENTIAL NEW CONTACTS AND RELATED METHODS,NA,H04W 4/02,Kaul Bhavuk;RESEARCH IN MOTION LIMITED;Suman Michael Williams,Kaul Bhavuk;Suman Michael Williams,NA
US20140018136,17.01.2014,PROVIDING A REAL-WORLD REWARD BASED ON PERFORMANCE OF ACTION(S) INDICATED BY VIRTUAL CARD(S) IN AN ONLINE CARD GAME,NA,A63F 9/24,Sai Jayant B.;YAHOO! INC.;Hennings Eric;Unsal Cem,Sai Jayant B.;Hennings Eric;Unsal Cem,NA
US20140019272,17.01.2014,METHOD AND APPARATUS FOR GENERATING MENU INFORMATION,NA,G06Q 50/12;G06Q 30/06,"CFPH, LLC;CFPH, LLC",Lutnick Howard W.;Sims Colin;Jordan Jesse;Blosser Christopher;Mohalanobish Siddhant,NA
WO1997007723,07.03.1997,APPARATUS AND METHOD FOR REGULATING COOKING TIME IN A LIGHTWAVE OVEN,"[08/519,050 24.08.1995 US]",A47J 37/06;F24C 7/06;F24C 7/08,"QUADLUX, INC.","PETTIBONE, Donald, W.;O'NEAL, John, W.;WINTERRINGER, Gay, L.",NA
WO2008073268,20.06.2008,METHOD AND SYSTEM FOR NUMBER INDEXING FOR ADVERTISING,"[11/636,211 08.12.2006 US]",G06F 17/30,"BOOKSTAFF, Blake","BOOKSTAFF, Blake",NA
WO2008028222,14.03.2008,IMPROVEMENTS IN CONTAINMENT OF FOOD,[2006904849 05.09.2006 AU],B32B 15/12;B32B 37/06;B65D 81/26,"THERMAPAK PTY. LTD.;CALKOEN, Guido","CALKOEN, Guido",NA
WO2003036900,02.05.2003,METHOD AND APPARATUS FOR PERSONAL INFORMATION ACCESS CONTROL,[01125568.4 25.10.2001 EP],H04L 29/06,"TELEFONAKTIEBOLAGET LM ERICSSON (publ);HOLTMANNS, Silke;GERDES, Martin;SCHUBA, Marko","HOLTMANNS, Silke;GERDES, Martin;SCHUBA, Marko",NA
WO2005031614,08.04.2005,SYSTEMS AND METHODS FOR CLUSTERING SEARCH RESULTS,"[10/664,929 22.09.2003 US]",G06F 17/30,"GOOGLE INC.;SMITH, Adam;GE, Xianping;HAMON REID, Elizabeth;PARMAR, Abhishek","SMITH, Adam;GE, Xianping;HAMON REID, Elizabeth;PARMAR, Abhishek",NA
WO2011066500,04.06.2011,SYSTEM AND METHOD OF PROVIDING ENHANCED LISTINGS,"[12/627,313 30.11.2009 US]",G06F 15/16;G06F 17/30,"GOOGLE INC.;OHAZAMA, Chikai, J.","OHAZAMA, Chikai, J.",NA
WO2008019000,15.02.2008,WEB PRESENCE USING CARDS,"[11/499,392 03.08.2006 US]",G06F 15/16,"SMALLTOWN, INC;RUGGIERO, James, A.;MCCOLLOM, Joanie, L.;RUCKER, Hal;JENKINS, Mark, D.","RUGGIERO, James, A.;MCCOLLOM, Joanie, L.;RUCKER, Hal;JENKINS, Mark, D.",NA
WO2014070917,09.05.2014,CONTENT DISTRIBUTION SYSTEM AND METHOD,"[US 20121031 13/664,904]",G06Q 50/30,GOOGLE INC.,"PLUMMER, James",NA
US5144106,02.09.1992,Microwave cooking utensil employing two different microwave susceptors,[07166062 1988-03-09T23:59:59.000Z US],A23L 1/01;A23L 1/01;A47J 36/02;A47J 36/02;A47J 37/12;A47J 37/12;B65D 81/34;B65D 81/34;H05B 6/64;H05B 6/64,"Kraft General Foods, Inc.",Kearns Joyce M.;Scarpellino Richard,NA
US4795649,04.01.1989,Microwave cooking,NA,H05B 6/64;A23L 1/01;A23L 1/01;A23L 1/01;A47J 36/02;A47J 36/02;A47J 37/12;A47J 37/12;B65D 81/34;B65D 81/34;H05B 6/64;H05B 6/64,General Foods Corporation,Kearns Joyce M.;Scarpellino Richard,NA
US4873473,11.10.1989,Modular motor controller,NA,H02P 7/28;H02P 23/00,"Dart Controls, Inc.",Penn Paul E.;Werckman Roger A.;Waymire John W.,NA
US4963708,17.10.1990,Microwave cooking apparatus,[07166062 1988-03-09T23:59:59.000Z US],A23L 1/01;A23L 1/01;A47J 36/02;A47J 36/02;A47J 37/12;A47J 37/12;B65D 81/34;B65D 81/34;H05B 6/64;H05B 6/64,"Kraft General Foods, Inc.",Kearns Joyce M.;Scarpellino Richard,NA
US5177332,06.01.1993,Microwave energy susceptible conformable laminate packaging materials,[07188556 1988-04-29T23:59:59.000Z US],B32B 27/08;B32B 27/08;B65D 81/34;B65D 81/34,E. I. Du Pont de Nemours and Company,Fong Dan S. C.,NA
US6013298,12.01.2000,Method of making a reduced salt bread dough product and reduced salt bread dough product,[06303381 1994-12-07T23:59:59.000Z JP],A21D 2/08;A21D 2/00;A21D 2/02;A21D 2/18,"Fujisawa Pharmaceutical Co., Ltd.;National Food Research Institute, Ministry of Agriculture, Forestry and Fisheries",Takano Hiroyuki;Kakiuchi Toshihito;Ise Naomi,NA
US20050065916,25.03.2005,Methods and systems for improving a search ranking using location awareness,NA,G06F 7/00;G06F 7/00;G06F 17/30;G06F 17/30,Google Inc.,Ge Xianping;Parmar Abhishek;Singhal Amit;Smith Adam;Egnor Daniel;Hamon Elizabeth,NA
US20050042332,25.02.2005,Method of making a laminated dough product and a product produced thereby,"[10195043 2002-07-12T23:59:59.000Z US, 10900967 2004-07-28T23:59:59.000Z US]",A23G 3/00;A21D 13/00;A21D 13/00;A23L 1/00;A23L 1/00,NA,Lonergan Dennis A.,NA
US20050051157,11.03.2005,"Kit, apparatus and method for use in cooking over an intense heat source",[60500465 2003-09-05T23:59:59.000Z US],F24C 1/00;F24C 1/16;A47J 36/00;A47J 36/36;A47J 37/07;A47J 37/07;F24B 1/00;F24B 1/00,Islander Innovations LLC,Cuomo Robert,NA
US6955110,19.10.2005,"Apparatus and method for cutting soft materials, especially meat",[10108950 2002-03-27T23:59:59.000Z US],B26D 1/12;A22C 17/00;A22C 17/00;A47J 43/04;A47J 43/07;B26D 1/01;B26D 1/12;B26D 1/28,Sandia Corporation,Spletzer Barry L.;Callow Diane S.;Jones James F.;Kuehl Michael A.;Shaw Dick L.;Scalia Barbara J.,NA
US20090110159,01.05.2009,Message delivery using a voice mail system,NA,H04M 1/64;H04M 1/64;G10L 13/00;G10L 13/00,Verizon Laboratories Inc.,Kalbag Rohit Satish,NA
US20090327286,01.01.2010,Ranking documents based on a location sensitivity factor,NA,G06F 17/30;G06F 17/30;G06Q 30/00;G06Q 30/00,Google Inc.,Ge Xianping;Parmar Abhishek;Singhal Amit;Smith Adam;Egnor Daniel;Hamon Elizabeth,NA
US20100279667,05.11.2010,Keyword-based services for mobile device messages,NA,H04M 3/42;G06Q 30/02,"Wehrs Michael E.;Nuance Communications, Inc.;Bargen Bradley L.",Wehrs Michael E.;Bargen Bradley L.,NA
US20100012645,22.01.2010,"Temperature probe for an oven, oven and method for operating an oven","[10 2007 016 452 2007-03-30T23:59:59.000Z DE, 10 2007 018 245 2007-04-12T23:59:59.000Z DE]",A21B 1/00;G01K 1/08;G01K 13/00;G01K 13/00,E.G.O. Elektro-Geraetebau GmbH,Baier Martin,NA
US20100250126,01.10.2010,Visual assessment of landmarks,NA,G01C 21/32;G01C 21/36,Microsoft Corporation,Epshtein Boris;Ofek Eyal,NA
US20110259894,28.10.2011,APPARATUS AND METHOD FOR CONTAINING EDIBLE ITEMS,NA,B65D 81/00,CHEUNG Thomas Kwok Yin,CHEUNG Thomas Kwok Yin,NA
US20120079396,30.03.2012,Automatic Content Creation Based on Group Collaboration Spaces,NA,G06F 3/00,Neer Robert;Goran Charles,Neer Robert;Goran Charles,NA
US20120016586,20.01.2012,Visual assessment of landmarks,NA,G01C 21/32,Epshtein Boris;Microsoft Corporation;Ofek Eyal,Epshtein Boris;Ofek Eyal,NA
US08600033,04.12.2013,Providing business listings based on locations of previously provided listings,NA,H04M 3/42,Cross Karen M.;Microsoft Corporation;Klein Andrea;Sullivan Anne K.,Cross Karen M.;Klein Andrea;Sullivan Anne K.,NA
US20140025490,24.01.2014,AUTOMATED RECOMMENDATIONS BASED ON HISTORIC LOCATION-PREFERENCE INFORMATION,NA,G06Q 30/02,Shekar Bharathi;Chand Ashootosh;Nandi Arnab,Shekar Bharathi;Chand Ashootosh;Nandi Arnab,NA
US20140257792,12.09.2014,"Anaphora Resolution Using Linguisitic Cues, Dialogue Context, and General Knowledge",NA,G10L 15/18,"NUANCE COMMUNICATIONS, INC.;NUANCE COMMUNICATIONS, INC.",Gandrabur Simona;Buist Eric;Curin Jan;Kleindienst Jan;Havelka Jiri,NA
US20140257794,12.09.2014,Semantic Re-Ranking of NLU Results in Conversational Dialogue Applications,NA,G10L 15/18,"NUANCE COMMUNICATIONS, INC.;NUANCE COMMUNICATIONS, INC.",Gandrabur Simona;Lavall_e Jean-Francois;Tremblay R_al,NA
US20140257793,12.09.2014,Communicating Context Across Different Components of Multi-Modal Dialog Applications,NA,G10L 15/18,"NUANCE COMMUNICATIONS, INC.;NUANCE COMMUNICATIONS, INC.",Gandrabur Simona;Buist Eric;Hebert Matthieu,NA
US20150006284,02.01.2015,KEYWORD-BASED SERVICES FOR MOBILE DEVICE MESSAGES,NA,G06Q 30/02;H04L 12/58,"Nuance Communications, Inc.",Wehrs Michael E.;Bargen Bradley L.,NA
US20140367293,04.07.2014,Ultra low-profile spice rack,NA,E06B 1/00;A47B 81/00;B65D 25/20,"Peggy Brown Creative Consulting, LLC;Peggy Brown Creative Consulting, LLC.",Brown Margaret A.,NA
