applicants_organisations_only, applicants_use_me, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_code, priority_country_name, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, title, title_phrases, url
"ALTAIR","ALTAIR","0","A63H27/02; B64C2201/028; B64C2201/104; B64C2201/127; B64C39/024","","7","LEHMANN BENJAMIN","B64C39/02","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","FR","France","FR 0706401 A","2007","AT","Austria","2011-4-15","AT 502847 T","2011","Modulare Drohne Mit Abnehmbaren Komponenten","modulare Drohne Mit Abnehmbaren Komponenten","https://lens.org/094-249-353-921-846"
"EUROCOPTER FRANCE","EUROCOPTER FRANCE","0","B64C13/46; B64C27/26","","7","BIEST ROMUALD; GEMMATI BERNARD; PRUSS JULIEN","B64C13/46; B64C27/26","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","FR","France","FR 0903690 A","2009","AT","Austria","2012-1-15","AT 539958 T","2012","Variable DÃ¤mpfung Der Haptischen RÃ¼ckkopplung FÃ¼r Die BewegungsÃ¼bertragung Bei Ã„nderung Der Fluglage Eines Luftfahrzeugs","variable DÃ¤mpfung Der Haptischen RÃ¼ckkopplung FÃ¼r Die BewegungsÃ¼bertragung Bei Ã„nderung Der Fluglage Eines Luftfahrzeugs","https://lens.org/027-673-470-146-837"
"SAGEM DEFENSE SECURITE","SAGEM DEFENSE SECURITE","0","G05B9/02; G05D1/0022","","7","MASSENET NICOLAS","G05B19/048; G05B9/02; G05D1/00","Control Systems","G05B: Physics -> Controlling; Regulating -> Control Or Regulating Systems In General; Functional Elements Of Such Systems; Monitoring Or Testing Arrangements For Such Systems Or Elements; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables","","FR","France","FR 0752984 A","2007","AT","Austria","2012-5-15","AT 556363 T","2012","Verfahren Und System Zur Gesicherten Autorisierung Der Aktivierung Einer Kritischen Funktion An Bord Einer Drohne","Bord Einer Drohne; verfahren Und System Zur Gesicherten Autorisierung Der Aktivierung Einer Kritischen Funktion","https://lens.org/098-919-966-728-008"
"PARROT","PARROT","0","A63H27/12; A63H30/04; G05D1/0016; G08C17/02","","13","LEFEBURE MARTIN","A63H30/04; G08C17/02; H04M1/725","Sports; Signalling; Electric Communication/Television","A63H: Human Necessities -> Sports; Games; Amusements -> Toys, E.G. Tops, Dolls, Hoops, Building Blocks; G08C: Physics -> Signalling -> Transmission Systems For Measured Values, Control Or Similar Signals; H04M: Electricity -> Electric Communication Technique -> Telephonic Communication","","FR","France","FR 0806665 A","2008","AT","Austria","2012-5-15","AT 556754 T","2012","Einrichtung Zum Fliegen Einer Drone","einrichtung Zum Fliegen Einer Drone","https://lens.org/152-179-820-649-302"
"PARROT","PARROT","0","A63F2009/241; A63H27/12; A63H30/04; G05D1/0016; G06F3/04817; G06F3/04883; G08C17/02; G08C2201/93","","13","D HAEYER FREDERIC; SEYDOUX HENRI","A63F13/10; A63F9/24; A63H27/133; A63H30/04; G06F3/041; G08C17/02","Sports; Computing; Signalling","A63F: Human Necessities -> Sports; Games; Amusements -> Card, Board Or Roulette Games; Indoor Games Using Small Moving Playing Bodies; Video Games; Games Not Otherwise Provided For; A63H: Human Necessities -> Sports; Games; Amusements -> Toys, E.G. Tops, Dolls, Hoops, Building Blocks; G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; G08C: Physics -> Signalling -> Transmission Systems For Measured Values, Control Or Similar Signals","","FR","France","FR 1051751 A; FR 1054449 A","2010","AT","Austria","2012-5-15","AT 556755 T","2012","Verfahren Und GerÃ¤t Zur Fernbedienung Einer Drohne, Insbesondere Einer Drohne Mit DrehflÃ¼geln","Insbesondere Einer Drohne Mit DrehflÃ¼geln; verfahren Und GerÃ¤t Zur Fernbedienung Einer Drohne","https://lens.org/005-506-993-736-485"
"TEXACO AG","TEXACO AG","0","C07C59/347; C07D471/04; C08G59/448","","10","","C07C59/347; C07D471/04; C08G59/44","Organic Chemistry; Macromolecular Compounds","C07C: Chemistry; Metallurgy -> Organic Chemistry -> Acyclic Or Carbocyclic Compounds; C07D: Chemistry; Metallurgy -> Organic Chemistry -> Heterocyclic Compounds; C08G: Chemistry; Metallurgy -> Organic Macromolecular Compounds; Their Preparation Or Chemical Working-Up; Compositions Based Thereon -> Macromolecular Compounds Obtained Otherwise Than By Reactions Only Involving Carbon-To-Carbon Unsaturated Bonds","","DE","Germany","DE 2144178 A","1971","BE","Belgium","1973-3-1","BE 788315 A1","1973","Procede De Preparation De 1,8-diaza-9,10-dialkyl-bicyclo- (4,4,0)-decane-diones-(2,7)","procede De Preparation De 1,8-diaza-9,10-dialkyl-bicyclo- 4,4,0 -decane-diones-(2,7)","https://lens.org/032-233-443-500-150"
"","","0","F41G3/2622; F41G7/003; F41J2/00; F41J9/08; H01Q15/14","","12","","F41G3/26; F41G7/00; F41J2/00; F41J9/08; F41J9/10; G01S7/40; G05D1/12; H01Q15/14","Weapons; Direction Finding; Control Systems; Electrical Elements","F41G: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Weapon Sights; Aiming; F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers; G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables; H01Q: Electricity -> Basic Electric Elements -> Aerials","","US","United States of America","US 44515374 A","1974","BE","Belgium","1975-4-21","BE 821300 A1","1975","Cible Secondaire Pour Radar","cible Secondaire","https://lens.org/151-538-652-580-689"
"RHEINMETALL GMBH","RHEINMETALL GMBH","0","B63G7/04","","6","KALTMANN HANS-JOACHIM; SCHAPER HERMANN","B63G7/04","Waterborne Vessels/Ships","B63G: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Offensive Or Defensive Arrangements On Vessels; Mine-Laying; Mine-Sweeping; Submarines; Aircraft Carriers","","DE","Germany","DE 3528329 A","1985","BE","Belgium","1986-11-3","BE 905083 A1","1986","Dispositif Destine A La Destruction De Mines Marines; En Particulier De Mises A Orin.","En Particulier De Mises; La Destruction De Mines Marines","https://lens.org/015-024-051-511-806"
"FLORIDIENNE SA; SANDERS PROBEL BIOTECHNOLOGY S","FLORIDIENNE SA; SANDERS PROBEL BIOTECHNOLOGY S","4","A01M1/02; A01M1/2044","","1","","A01M1/02; A01M1/20","Agriculture","A01M: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Catching, Trapping Or Scaring Of Animals; Apparatus For The Destruction Of Noxious Animals Or Noxious Plants","","BE","Belgium","BE 217307 A; BE 905621 A","1986","BE","Belgium","1987-4-17","BE 905621 A1","1987","Eliminating Parasites Of Bees - By Coating The Honeycomb Cells With An Attractant For Parasite","Honeycomb Cells","https://lens.org/045-320-067-203-482"
"","VLEESCHOUWER LUC DE","0","A01K47/00; A01K67/033","","4","","A01K47/00; A01K67/033","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals","","BE","Belgium","BE 9200994 A","1992","BE","Belgium","1994-9-6","BE 1006470 A6","1994","Koelkast Voor Het Voorkomen Van Hoge Temperaturen In Nestkastjes Voor Hommelkolonies.","koelkast Voor Het Voorkomen Van Hoge Temperaturen; Nestkastjes Voor Hommelkolonies","https://lens.org/048-395-040-516-812"
"TS LAB ZA OPTICHEN ZAPIS I OBR","TS LAB ZA OPTICHEN ZAPIS I OBR","0","","","1","KUPRIJANOV SERGEJ S","G01C23/00","Measuring","G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","BG","Bulgaria","BG 4873979 A","1979","BG","Bulgaria","1989-12-15","BG 46357 A1","1989","System For Automatic Control Of Drones","Automatic Control","https://lens.org/026-906-126-985-445"
"INST TEKHN KIB I ROBOTIKA PRI","INST TEKHN KIB I ROBOTIKA PRI","0","","","1","ALEKSANDROV STANISLAV G; BARUKH JEROKHAM S; BENKOV JULIAN G; DANEV BOZHIDAR V; MINCHEV IVAN B; ZAPRJANOV JORDAN D","B64C13/18","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","BG","Bulgaria","BG 3364976 A","1976","BG","Bulgaria","1989-12-15","BG 46356 A1","1989","System For Automatic Stabilization And Control Of Drones","Automatic Stabilization","https://lens.org/177-253-722-591-207"
"","MONOV","0","","","1","MONOV","A01K49/00","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals","","BG","Bulgaria","BG 5353881 A","1981","BG","Bulgaria","1982-12-15","BG 33016 A1","1982","Method For Growing Of Sexual Suitable Late Drones","Sexual Suitable Late Drones","https://lens.org/080-497-562-039-352"
"TS LAB ZA OPTICHEN ZAPIS I OBR","TS LAB ZA OPTICHEN ZAPIS I OBR","0","","","1","KUPRIJANOV SERGEJ S","B64C19/00; G01C23/00","Aircraft; Measuring","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","BG","Bulgaria","BG 4874080 A","1980","BG","Bulgaria","1989-12-15","BG 46358 A1","1989","System For Controlling A Drones","","https://lens.org/024-343-639-983-323"
"","DIAZ VALDEZ ALFREDO TADEO","0","B63C9/21; G08B21/088","","6","VALDEZ ALFREDO TADEO DIAZ","G08B21/00; G08B21/08; G08B21/22; G08B21/24; G08B23/00; G08B25/10","Signalling","G08B: Physics -> Signalling -> Signalling Or Calling Systems; Order Telegraphs; Alarm Systems","","AR","Argentina","AR 31826990 A","1990","BR","Brazil","1992-6-23","BR 9104729 A","1992","Sistema De Alarme Salva-vidas","sistema De Alarme Salva-vidas","https://lens.org/057-822-464-815-760"
"BRITISH AEROSPACE","BRITISH AEROSPACE","0","B64D7/08","","8","WALLIS GRAHAM P","B64D7/08; F41F3/06","Aircraft; Weapons","B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft; F41F: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Apparatus For Launching Projectiles Or Missiles From Barrels, E.G. Cannons; Launchers For Rockets Or Torpedoes; Harpoon Guns","","GB","United Kingdom","GB 9206756 A","1992","BR","Brazil","1993-10-5","BR 9301335 A","1993","Aparelho De Lancamento De Veiculos Aereos","aparelho De Lancamento De Veiculos Aereos","https://lens.org/198-162-251-515-07X"
"THALES SA","THALES SA","0","H04L1/0003; H04L1/0009; H04L1/0083; H04L27/0008; H04L27/22; H04L27/2656; H04L27/38; H04N21/236; H04N21/23605; H04N21/2383; H04N21/4382; H04N21/6143; H04N21/6193; H04N21/6338; H04N21/643","","8","GOURLAOUEN KATY; TOURET MARC","H04N21/2383; H04N5/04","Electric Communication/Television","H04N: Electricity -> Electric Communication Technique -> Pictorial Communication, E.G. Television","","FR","France","FR 1203616 A","2012","BR","Brazil","2015-7-14","BR 102013033629 A2","2015","MÃ©todo E Sistema Para SincronizaÃ§Ã£o Para Quadro Dvb-s2 E Sua Estrutura De Quadro Associada","MÃ©todo E Sistema Para SincronizaÃ§Ã£o Para Quadro Dvb-s2 E Sua Estrutura De Quadro Associada","https://lens.org/147-888-357-765-141"
"MERCK & CO INC","MERCK & CO INC","0","","","6","HANNAH J; PATCHETT A; WINDHOLZ T","C07D309/12","Organic Chemistry","C07D: Chemistry; Metallurgy -> Organic Chemistry -> Heterocyclic Compounds","","US","United States of America","US 48622565 A; US 54410766 A","1965; 1966","BR","Brazil","1973-12-4","BR 6682664 D0","1973","Processo Para Preparacao De Novos Compostos Intermediarios Uteis Na Preparacao De Compostos Esteroides","processo Para Preparacao De Novos Compostos Intermediarios Uteis Na Preparacao De Compostos Esteroides","https://lens.org/182-830-779-053-328"
"SHORT BROTHERS AND HARLAND LIM","SHORT BROTHERS AND HARLAND LIM","0","B64C2201/027; B64C2201/044; B64C2201/088; B64C2201/108; B64C2201/162; B64C29/02; B64C39/024; B64C39/062","","7","JOHNSTON THOMAS; YOUENS FREDERICK P","B64C29/02; B64C39/06","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","GB","United Kingdom","GB 4072172 A","1972","CA","Canada","1976-12-7","CA 1001142 A","1976","Flight Vehicle","flight Vehicle","https://lens.org/088-472-986-848-161"
"CANADAIR LTD","CANADAIR LTD","0","F41G3/00; F41G9/00","","5","HUVERS MARIUS","F41G3/00; F41G9/00","Weapons","F41G: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Weapon Sights; Aiming","","US","United States of America","US 59813475 A","1975","CA","Canada","1979-11-13","CA 1066093 A","1979","Rate Integrating Gyroscopic Aiming Method And Device Therefor","Device Therefor; rate Integrating","https://lens.org/183-683-627-764-322"
"BOSE CORP","BOSE CORP","0","H04R1/227; H04R1/2819; H04R1/2826; H04R1/2834; H04R3/12","","19","FROESCHLE THOMAS A; SCHREIBER WILLIAM P","H04R1/28","Loudspeakers/Microphones","H04R: Electricity -> Electric Communication Technique -> Loudspeakers, Microphones, Gramophone Pick-Ups Or Like Acoustic Electromechanical Transducers; Deaf-Aid Sets; Public Address Systems","","US","United States of America","US 71994376 A","1976","CA","Canada","1980-8-19","CA 1083972 A","1980","Multiple Driver Loudspeaker System","multiple Driver Loudspeaker System","https://lens.org/023-423-337-197-398"
"BOSE CORP","BOSE CORP","0","H04R1/227; H04R1/2819; H04R1/2826; H04R1/2834; H04R3/12","","19","VERANTH JOSEPH L","H04R1/28","Loudspeakers/Microphones","H04R: Electricity -> Electric Communication Technique -> Loudspeakers, Microphones, Gramophone Pick-Ups Or Like Acoustic Electromechanical Transducers; Deaf-Aid Sets; Public Address Systems","","US","United States of America","US 71994976 A","1976","CA","Canada","1980-6-10","CA 1079199 A","1980","Multiple Driver Loudspeaker System","multiple Driver Loudspeaker System","https://lens.org/108-735-618-024-260"
"GRACE W R & CO","GRACE W R & CO","0","C07D311/96; C12P17/06; C12R1/66","","14","CALTON GARY J; ESPENSHADE MARLIN A; RANIERI RICHARD L","C07D311/96; C12P17/06","Organic Chemistry; Biochemistry","C07D: Chemistry; Metallurgy -> Organic Chemistry -> Heterocyclic Compounds; C12P: Chemistry; Metallurgy -> Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering -> Fermentation Or Enzyme-Using Processes To Synthesise A Desired Chemical Compound Or Composition Or To Separate Optical Isomers From A Racemic Mixture","","US","United States of America","US 82108777 A; US 89961678 A","1977; 1978","CA","Canada","1981-7-28","CA 1105861 A","1981","Antineoplastic Agent","antineoplastic Agent","https://lens.org/000-527-449-911-893"
"CANADAIR LTD","CANADAIR LTD","0","G01C19/38","","4","HUVERS MARIUS","G01C19/38","Measuring","G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","US","United States of America","US 3614779 A","1979","CA","Canada","1983-1-25","CA 1139934 A","1983","Gyroscopic Aiming Method And System And Suspension System Therefor","Suspension System Therefor","https://lens.org/094-690-696-097-50X"
"CBS INC","CBS INC","0","A63H18/12; G09B9/048","","66","BENY JANOS; MOORE JAMES D; RYAN JOHN W","A63H18/12; G09B9/048","Sports; Signs, Advertising","A63H: Human Necessities -> Sports; Games; Amusements -> Toys, E.G. Tops, Dolls, Hoops, Building Blocks; G09B: Physics -> Educating; Cryptography; Display; Advertising; Seals -> Educational Or Demonstration Appliances; Appliances For Teaching, Or Communicating With, The Blind, Deaf Or Mute; Models; Planetaria; Globes; Maps; Diagrams","","US","United States of America","US 74744176 A; US 78383377 A","1976; 1977","CA","Canada","1983-6-21","CA 1148357 A","1983","Toy Vehicle And Toy Vehicle Game","toy Vehicle; Toy Vehicle Game","https://lens.org/189-009-276-512-580"
"AEROSPATIALE","AEROSPATIALE","0","G09B9/08; G09B9/54","","7","CHASSAIGNE GEORGES; SAFFORES JEAN R","G09B9/08; G09B9/54","Signs, Advertising","G09B: Physics -> Educating; Cryptography; Display; Advertising; Seals -> Educational Or Demonstration Appliances; Appliances For Teaching, Or Communicating With, The Blind, Deaf Or Mute; Models; Planetaria; Globes; Maps; Diagrams","","FR","France","FR 8501843 A","1985","CA","Canada","1988-8-23","CA 1241112 A","1988","Simulator, And Installation Comprising Said Simulator, For Tracking And Guiding Drones","Guiding Drones; Installation Comprising","https://lens.org/020-812-972-588-494"
"","KLING ALBERTO","0","B64C27/20","","31","KLING ALBERTO","B64C11/00; B64C27/10; B64C27/20; F04D29/18","Aircraft; Positive Displacement Machines","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; F04D: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Positive-Displacement Machines For Liquids; Pumps For Liquids Or Elastic Fluids -> Non-Positive-Displacement Pumps","","US","United States of America","US 18489171 A","1971","CA","Canada","1975-7-15","CA 971150 A","1975","Precessor Flying Craft","precessor Flying Craft","https://lens.org/005-305-515-254-915"
"","ADAMS WILLIAM J C","0","G10D7/023; G10D7/063","","4","ADAMS WILLIAM J C","G10D7/02; G10D7/06","Musical Instruments","G10D: Physics -> Musical Instruments; Acoustics -> Stringed Musical Instruments; Wind Musical Instruments; Accordions Or Concertinas; Percussion Musical Instruments; Musical Instruments Not Otherwise Provided For","","GB","United Kingdom","GB 896471 A","1971","CA","Canada","1975-1-28","CA 961677 A","1975","Bagpipes","","https://lens.org/116-292-651-517-77X"
"POLK INVESTMENT CORP","POLK INVESTMENT CORP","0","H04R1/025; H04R1/2834; H04R1/2842; H04R1/2849; H04R2201/021; H04R2499/13","","6","POLK MATTHEW S","H04R1/02; H04R1/28; H04R31/00","Loudspeakers/Microphones","H04R: Electricity -> Electric Communication Technique -> Loudspeakers, Microphones, Gramophone Pick-Ups Or Like Acoustic Electromechanical Transducers; Deaf-Aid Sets; Public Address Systems","","US","United States of America","US 29415089 A; US 34204289 A","1989","CA","Canada","1990-7-5","CA 2002593 A1","1990","Compact And Efficient Sub-woofer System And Method For Installation In Structural Partitions","Efficient Sub-woofer System; Structural Partitions","https://lens.org/062-384-217-943-267"
