applicants_orgs_all,publication_number,applicants_orgs_all_1
Unilever Plc,CA2360874,Unilever Plc
"The Delfin Project, Inc",CA2420079,"The Delfin Project, Inc"
Nestle Sa,EP0739587,Nestle Sa
JLB Ventures Llc,EP1236347,JLB Ventures Llc
Leprino Foods Company,CA2573110,Leprino Foods Company
IC Media Technology Inc,EP2526542,IC Media Technology Inc
Clarion Co Ltd,EP2581901,Clarion Co Ltd
Cmt Costruzioni Meccaniche E Tecnologia S.P.A,US5505608,Cmt Costruzioni Meccaniche E Tecnologia S.P.A
"Kraft General Foods, Inc",US4382963,"Kraft General Foods, Inc"
"Dominos Pizza Pmc, Inc",US4718769,"Dominos Pizza Pmc, Inc"
Marvin Glass & Associates,US4948146,Marvin Glass & Associates
Du Pont,US4972058,Du Pont
Nestec,US5448943,Nestec
International Paper Company,US5153402,International Paper Company
"The Government Of The United States Of America, As Represented By The Secretary, Department Of Health And Human Services",US4986253,"The Government Of The United States Of America, As Represented By The Secretary, Department Of Health And Human Services"
Electricite De France - Service National,US4987828,Electricite De France - Service National
Progressive International Corp,US6065188,Progressive International Corp
Jefferson Smurfit Corporation,US5799864,Jefferson Smurfit Corporation
"Field Container Company, Lp",US20030085263,"Field Container Company, Lp"
Unilever Patent Holdings B.V,US5955130,Unilever Patent Holdings B.V
Hp Intellectual Corp,US20020073854,Hp Intellectual Corp
Switchboard Incorporated,US20030048294,Switchboard Incorporated
International Business Machines Corporation,US6496799,International Business Machines Corporation
AT&T Corp,US20050245241,AT&T Corp
International Business Machines Corporation,US6975874,International Business Machines Corporation
International Business Machines Corporation,US20060079243,International Business Machines Corporation
Microsoft Corporation,US20070226187,Microsoft Corporation
The Texas A & M University System,US7287002,The Texas A & M University System
"Magellan Navigation, Inc",US20080139181,"Magellan Navigation, Inc"
"Samsung Electronics Co., Ltd",US20080080442,"Samsung Electronics Co., Ltd"
"Embarq Holdings Company, Llc",US20090313097,"Embarq Holdings Company, Llc"
"Kickfire, Inc",US20090250236,"Kickfire, Inc"
Microsoft Corporation,US20080313142,Microsoft Corporation
"Graphic Packaging International, Inc",US20100270294,"Graphic Packaging International, Inc"
AT&T Corp,US20110077046,AT&T Corp
"Graphic Packaging International, Inc",US20100178396,"Graphic Packaging International, Inc"
"Lava Two, Llc",US20100254297,"Lava Two, Llc"
"Lava Two, Llc",US20100241527,"Lava Two, Llc"
Microsoft Corporation,US20120140908,Microsoft Corporation
"Eden Variety Products, Llc",US20130298781,"Eden Variety Products, Llc"
Google Inc,US08583750,Google Inc
Google Inc,US08484187,Google Inc
"Graphic Packaging International, Inc",US20130196041,"Graphic Packaging International, Inc"
"Graphic Packaging International, Inc",US20140127368,"Graphic Packaging International, Inc"
"Disney Enterprises, Inc",US20140280638,"Disney Enterprises, Inc"
Danisco A/S,WO2005018794,Danisco A/S
"A9.Com, Inc",WO2005094550,"A9.Com, Inc"
Google Inc,US08745058,Google Inc
Goji Ltd,US20140247060,Goji Ltd
"Adaytum, Inc",WO2004031895,"Adaytum, Inc"
"Adaytum, Inc",WO2004031894,"Adaytum, Inc"
"Adaytum, Inc",WO2004031891,"Adaytum, Inc"
"Adaytum, Inc",WO2004032013,"Adaytum, Inc"
"Adaytum, Inc",WO2004031940,"Adaytum, Inc"
Wexl,WO1998048498,Wexl
Verizon Business Network Services Inc,WO2009137590,Verizon Business Network Services Inc
LG Electronics Inc,WO2012115297,LG Electronics Inc
Raytheon Company,WO2008144374,Raytheon Company
"Allied Blending & Ingredients, Inc",WO2013165956,"Allied Blending & Ingredients, Inc"
"Graphic Packaging International, Inc",CA2767731,"Graphic Packaging International, Inc"
Du Pont,US5021293,Du Pont
Danisco A/S,US20020114864,Danisco A/S
Danisco A/S,US20050202121,Danisco A/S
"Robbins Industries, Inc",US20060037176,"Robbins Industries, Inc"
Yahoo! Inc,US20050228780,Yahoo! Inc
"Robbins Industries, Inc",US20050155186,"Robbins Industries, Inc"
"Volt Delta Resources, Llc",US20090136018,"Volt Delta Resources, Llc"
Yahoo! Inc,US20090157642,Yahoo! Inc
Find 1-4-U Inc,US20080270142,Find 1-4-U Inc
Microsoft Corporation,US20110314013,Microsoft Corporation
"Volt Delta Resources, Llc",US20120257735,"Volt Delta Resources, Llc"
Microsoft Corporation,US20130268507,Microsoft Corporation
"Appliance Scientific, Inc",US20120111857,"Appliance Scientific, Inc"
"Facebook, Inc",US20130066853,"Facebook, Inc"
Google Inc,US08688377,Google Inc
Vonage Network Llc,US20120099718,Vonage Network Llc
Microsoft Corporation,US20140129344,Microsoft Corporation
Yahoo! Inc,US20150012559,Yahoo! Inc
Mardon Son & Hall Limited,WO1988005249,Mardon Son & Hall Limited
"Telecommunication Systems, Inc",WO2011005328,"Telecommunication Systems, Inc"
Google Inc,WO2004114162,Google Inc
"Pizza Hut, Inc",WO2003004363,"Pizza Hut, Inc"
"True Label, Inc",WO1999067098,"True Label, Inc"
Intel Corporation,WO2013100931,Intel Corporation
The Pillsbury Company,US4904836,The Pillsbury Company
"Ministry Of Agriculture, Forestry And Fisheries Tohoku National Agricultrual Experiment Station",US6042867,"Ministry Of Agriculture, Forestry And Fisheries Tohoku National Agricultrual Experiment Station"
Yahoo! Inc,US20090234815,Yahoo! Inc
Nokia Corporation,US20110109435,Nokia Corporation
"Wilopen Products, Lc",US20130275204,"Wilopen Products, Lc"
Elisa Communications Oyj,EP1216590,Elisa Communications Oyj
Qualcomm Incorporated,CA2588241,Qualcomm Incorporated
Kraft Foods Global Brands Llc,CA2678019,Kraft Foods Global Brands Llc
"Kraft Foods Holdings, Inc",CA2367222,"Kraft Foods Holdings, Inc"
American Air Filter Co,EP2722092,American Air Filter Co
Toshiba Tec Kabushiki Kaisha,EP0973114,Toshiba Tec Kabushiki Kaisha
Toshiba Tec Kabushiki Kaisha,CA2277021,Toshiba Tec Kabushiki Kaisha
"Graphic Packaging International, Inc",EP2325106,"Graphic Packaging International, Inc"
Sharp Kabushiki Kaisha,EP1437552,Sharp Kabushiki Kaisha
Novozymes A/S,EP1162889,Novozymes A/S
First Data Corporation,CA2548989,First Data Corporation
First Data Corporation,CA2578397,First Data Corporation
Google Inc,CA2593421,Google Inc
"Graphic Packaging International, Inc",CA2603606,"Graphic Packaging International, Inc"
Franz Haas Waffelmaschinen-Industrie Aktiengesellschaft,CA2500242,Franz Haas Waffelmaschinen-Industrie Aktiengesellschaft
"Graphic Packaging International, Inc",CA2729975,"Graphic Packaging International, Inc"
"Graphic Packaging International, Inc",EP2310294,"Graphic Packaging International, Inc"
Charbecue Limited,EP2416685,Charbecue Limited
Yahoo! Inc,EP2033123,Yahoo! Inc
NCR Int Inc,EP0841614,NCR Int Inc
"A9.Com, Inc",US20060271287,"A9.Com, Inc"
"A9.Com, Inc",US08543323,"A9.Com, Inc"
"A9.Com, Inc",US08606493,"A9.Com, Inc"
Opentv Inc,EP2722808,Opentv Inc
"Lectrofood, Inc",US3966972,"Lectrofood, Inc"
Nestec,US5543169,Nestec
"Mallinckrodt, Inc",US4328115,"Mallinckrodt, Inc"
Diamond Shamrock Corporation,US4264636,Diamond Shamrock Corporation
"Lawrence Equipment, Inc",US5649473,"Lawrence Equipment, Inc"
"Kraft Foods Holdings, Inc",US5658609,"Kraft Foods Holdings, Inc"
"Boelter Industries, Inc",US4286006,"Boelter Industries, Inc"
Nestec,US4509700,Nestec
Nestec,US4525368,Nestec
G. S. Blodgett Corporation,US5223290,G. S. Blodgett Corporation
G. S. Blodgett Corporation,US5231920,G. S. Blodgett Corporation
Waddingtons Cartons Limited,US5252793,Waddingtons Cartons Limited
LG Electronics Inc,US6093919,LG Electronics Inc
LG Electronics Inc,US6093918,LG Electronics Inc
"Turbochef Technologies, Inc",US5927265,"Turbochef Technologies, Inc"
"Avtec Industries, Inc",US5421317,"Avtec Industries, Inc"
"Evs, Inc",US6041774,"Evs, Inc"
Lucent Technologies Inc,US5963861,Lucent Technologies Inc
Rock-Tenn Company,US5948308,Rock-Tenn Company
Mind Box Creative Group Ltd,US20030105665,Mind Box Creative Group Ltd
Nestec,US6139885,Nestec
Zesto Food Equipment Manufacturing Inc,US6192877,Zesto Food Equipment Manufacturing Inc
Proprocess Corporation,US6772681,Proprocess Corporation
Kerry Inc,US20030044503,Kerry Inc
LG Electronics Inc,US20040207305,LG Electronics Inc
Microsoft Corporation,US20050234936,Microsoft Corporation
"Stockley Enterprises, Llc",US20050224064,"Stockley Enterprises, Llc"
Maytag Corporation,US6812433,Maytag Corporation
Comverse Ltd,US20050215228,Comverse Ltd
"The Directv Group, Inc",US6917627,"The Directv Group, Inc"
LG Electronics Inc,US20050006995,LG Electronics Inc
"Nuance Communications, Inc",US20060224384,"Nuance Communications, Inc"
"Big Bang Ideas, Inc",US20050153623,"Big Bang Ideas, Inc"
"Stockley Enterprises, Llc",US20070039945,"Stockley Enterprises, Llc"
"Stockley Enterprises, Llc",US20050000958,"Stockley Enterprises, Llc"
"Big Bang Ideas, Inc",US20060166593,"Big Bang Ideas, Inc"
"General Mills, Inc",US20060159825,"General Mills, Inc"
"Samsung Electronics Co., Ltd",US20080177626,"Samsung Electronics Co., Ltd"
Technology Licensing Corporation,US20070081696,Technology Licensing Corporation
"Embarq Holdings Company, Llc",US20090307090,"Embarq Holdings Company, Llc"
"Embarq Holdings Company, Llc",US20090312040,"Embarq Holdings Company, Llc"
Avaya Technology Llc,US20090241153,Avaya Technology Llc
Avaya Inc,US20090241160,Avaya Inc
Avaya Technology Llc,US20090241159,Avaya Technology Llc
Avaya Technology Llc,US20090241158,Avaya Technology Llc
AT&T Corp,US20100157744,AT&T Corp
"Cybersoft, Inc",US08227008,"Cybersoft, Inc"
Blh Technologies Inc,US20130255900,Blh Technologies Inc
Radie B V,US20140050825,Radie B V
Bristol Office Machines Limited,WO2006131708,Bristol Office Machines Limited
Dima S.R.L,WO1998011786,Dima S.R.L
I.G.R. S.A,WO2000016642,I.G.R. S.A
Nokia Corporation,WO2002057972,Nokia Corporation
"Kirusa, Inc",WO2003015388,"Kirusa, Inc"
Archer-Daniels-Midland Company,WO2006010053,Archer-Daniels-Midland Company
Hoffmann La Roche,WO2008052374,Hoffmann La Roche
Premark Feg L.L.C,WO1998020740,Premark Feg L.L.C
"Dialsurf, Inc",CA2404343,"Dialsurf, Inc"
"Ultravection International, Inc",US5676870,"Ultravection International, Inc"
"Sanyo Electric Co., Ltd",US4541573,"Sanyo Electric Co., Ltd"
Sumitomo Electric Industries,US5107087,Sumitomo Electric Industries
"Hewlett-Packard Development Company, L.P",US20020169675,"Hewlett-Packard Development Company, L.P"
Google Inc,US20050119824,Google Inc
Microsoft Corporation,US20070156682,Microsoft Corporation
"Palm, Inc",US20080134030,"Palm, Inc"
Verizon Laboratories Inc,US7561679,Verizon Laboratories Inc
Microsoft Corporation,US20100287023,Microsoft Corporation
"Plus & Divide Co., Ltd",US20100320344,"Plus & Divide Co., Ltd"
Verizon Data Services Llc,US20100161811,Verizon Data Services Llc
Google Inc,US20100251088,Google Inc
Verizon Patent And Licensing Inc,US20110230195,Verizon Patent And Licensing Inc
Whirlpool Co,US20110297672,Whirlpool Co
"Dailydonor, Inc",US08554679,"Dailydonor, Inc"
"Dailydonor, Inc",US08543509,"Dailydonor, Inc"
Google Inc,US08745028,Google Inc
Sony Corporation,WO2011159696,Sony Corporation
Google Inc,WO2006074054,Google Inc
International Business Machines Corporation,WO2007031447,International Business Machines Corporation
Devro Plc,WO2001080653,Devro Plc
Hughes Systique India Private Limited,WO2012001456,Hughes Systique India Private Limited
Angel.Com,WO2014025460,Angel.Com
The Pillsbury Company,US4190757,The Pillsbury Company
The Pillsbury Company,US4283427,The Pillsbury Company
"The Delfin Project, Inc",US6067570,"The Delfin Project, Inc"
Nortel Networks Limited,US6167064,Nortel Networks Limited
"Graphic Packaging International, Inc",US20090200364,"Graphic Packaging International, Inc"
Google Inc,US08452795,Google Inc
Sprint Spectrum L.P,US08739236,Sprint Spectrum L.P
Du Pont,WO1991009509,Du Pont
Visy Board Properties Pty. Ltd,WO1993023294,Visy Board Properties Pty. Ltd
Microsoft Corporation,WO2012078381,Microsoft Corporation
Mitac International Corporation,WO2008073717,Mitac International Corporation
"Graphic Packaging International, Inc",WO2009114038,"Graphic Packaging International, Inc"
"Winwin Technologies, Ltd",WO2001073643,"Winwin Technologies, Ltd"
Unisys Corporation,WO2002091364,Unisys Corporation
"Jacent Technologies, Inc",WO2003088213,"Jacent Technologies, Inc"
Microsoft Corporation,WO2009023371,Microsoft Corporation
Givaudan Sa,WO2009089640,Givaudan Sa
"Vulano Group, Inc",WO2009029113,"Vulano Group, Inc"
Ipdev Co,WO2001061605,Ipdev Co
"Graphic Packaging International, Inc",WO2010081059,"Graphic Packaging International, Inc"
"Graphic Packaging International, Inc",WO2010129205,"Graphic Packaging International, Inc"
Cbpak - Embalagens Eco-Sustent-veis Ltda,WO2007106965,Cbpak - Embalagens Eco-Sustent-veis Ltda
"Graphic Packaging International, Inc",WO2014142889,"Graphic Packaging International, Inc"
James River Corporation,US4612431,James River Corporation
James River Corporation,US4555605,James River Corporation
The Procter & Gamble Company,US4891233,The Procter & Gamble Company
James River Corporation,US4742203,James River Corporation
James River Corporation,US5270502,James River Corporation
James River Corporation,US5140119,James River Corporation
Vengo 2000,US6199549,Vengo 2000
"General Mills, Inc",US6231903,"General Mills, Inc"
"Lancer Partnership, Ltd",US20020179633,"Lancer Partnership, Ltd"
"Lancer Partnership, Ltd",US20020179632,"Lancer Partnership, Ltd"
"Lancer Partnership, Ltd",US20020175181,"Lancer Partnership, Ltd"
"Lancer Partnership, Ltd",US6568565,"Lancer Partnership, Ltd"
"Cisco Technology, Inc",US20070214041,"Cisco Technology, Inc"
"Cisco Technology, Inc",US20070214040,"Cisco Technology, Inc"
Ipdev Co,US20060155770,Ipdev Co
Sandisk Il Ltd,US20080108342,Sandisk Il Ltd
Google Inc,US7523099,Google Inc
"Packaging Progressions, Inc",US20100189538,"Packaging Progressions, Inc"
"Disney Enterprises, Inc",US20100287026,"Disney Enterprises, Inc"
Nvidia Corporation,US20110244946,Nvidia Corporation
Yahoo! Inc,US20120054167,Yahoo! Inc
Thomson Licensing,US07921447,Thomson Licensing
Google Inc,US08027988,Google Inc
Kla-Tencor Corporation,US08169613,Kla-Tencor Corporation
Google Inc,US20130342574,Google Inc
Google Inc,US20120105475,Google Inc
Google Inc,US08595250,Google Inc
Kla-Tencor Corporation,US08520208,Kla-Tencor Corporation
Advershares Llc,US20130110599,Advershares Llc
Hudson Home Group Llc,US20130233863,Hudson Home Group Llc
"C/O Vmobo, Inc",US20140229468,"C/O Vmobo, Inc"
Apple Inc,US20140173269,Apple Inc
Hudson Home Group Llc,US20150034654,Hudson Home Group Llc
"Nfluence Media, Inc",WO2014186771,"Nfluence Media, Inc"
Elbex Video Ltd,EP1605700,Elbex Video Ltd
France Telecom,EP1813914,France Telecom
Elbex Video Ltd,CA2566997,Elbex Video Ltd
Pricearc Inc,US20100010934,Pricearc Inc
Goji Ltd,WO2013033330,Goji Ltd
"Appliance Scientific, Inc",WO2011140503,"Appliance Scientific, Inc"
"Paxfire, Inc",WO2011116381,"Paxfire, Inc"
Fonterra Co-Operative Group Limited,WO2007049981,Fonterra Co-Operative Group Limited
Microsoft Corporation,WO2014074946,Microsoft Corporation
Yahoo! Inc,WO2004090754,Yahoo! Inc
"Volt Delta Resources, Llc",WO2009058289,"Volt Delta Resources, Llc"
Du Pont,WO2007027712,Du Pont
Vonage Network Llc,WO2012057943,Vonage Network Llc
Microsoft Corporation,WO2013154916,Microsoft Corporation
"Facebook, Inc",WO2013036373,"Facebook, Inc"
Mdialog Corporation,WO2014019062,Mdialog Corporation
Intellocity Usa Inc,US20050137958,Intellocity Usa Inc
Opentv Inc,US20110321087,Opentv Inc
Goji Ltd,WO2012001523,Goji Ltd
"Wilopen Products, Lc",WO2014144238,"Wilopen Products, Lc"
Yahoo! Inc,WO2009146087,Yahoo! Inc
Intuit Inc,WO2012099614,Intuit Inc
Musco Family Olive Company,WO2013163621,Musco Family Olive Company
Leprino Foods Company,WO2005107486,Leprino Foods Company
"Turbochef, Inc",EP0604547,"Turbochef, Inc"
"Turbochef Technologies, Inc",EP0809418,"Turbochef Technologies, Inc"
James River Corporation,EP0650450,James River Corporation
Microsoft Corporation,EP2088551,Microsoft Corporation
ICREA Institucio Catalana De Recerca I Estudis Avancats,EP2327711,ICREA Institucio Catalana De Recerca I Estudis Avancats
"Turbochef, Inc",CA2119239,"Turbochef, Inc"
James River Corporation,CA2140518,James River Corporation
Research In Motion Limited,CA2556862,Research In Motion Limited
"Graphic Packaging International, Inc",CA2601087,"Graphic Packaging International, Inc"
"Kraft Foods Holdings, Inc",CA2597292,"Kraft Foods Holdings, Inc"
"Kraft Foods Holdings, Inc",CA2602764,"Kraft Foods Holdings, Inc"
Microsoft Corporation,CA2631185,Microsoft Corporation
Minnesota Mining And Manufacturing Company,CA2212536,Minnesota Mining And Manufacturing Company
"Graphic Packaging International, Inc",CA2706625,"Graphic Packaging International, Inc"
Advantage Sales & Marketing Llc,CA2665142,Advantage Sales & Marketing Llc
"Kraft Foods Holdings, Inc",CA2377205,"Kraft Foods Holdings, Inc"
Pechiney Emballage Flexible Europe,EP1448390,Pechiney Emballage Flexible Europe
"Alpine Electronics, Inc",US20040260465,"Alpine Electronics, Inc"
"American Express travel Related Services Company, Inc., A New York Corporation",US20080208735,"American Express travel Related Services Company, Inc., A New York Corporation"
Blackberry Limited,US20110179018,Blackberry Limited
Cellco Partnership DBA Verizon Wireless,US20130217366,Cellco Partnership DBA Verizon Wireless
"Samsung Electronics Co., Ltd",US20130328929,"Samsung Electronics Co., Ltd"
Cellco Partnership DBA Verizon Wireless,US20140235223,Cellco Partnership DBA Verizon Wireless
"Lectrofood, Inc",US4016301,"Lectrofood, Inc"
"Lectrofood, Inc",US4016297,"Lectrofood, Inc"
Nestle Sa,EP1346640,Nestle Sa
Ralston Purina Company,EP0141615,Ralston Purina Company
John Bean Technologies Ab,EP2308359,John Bean Technologies Ab
Beckett Ind Inc,EP0513076,Beckett Ind Inc
"Alternative Pioneering Systems, Inc",EP0423116,"Alternative Pioneering Systems, Inc"
"Samsung Electronics Co., Ltd",EP0792087,"Samsung Electronics Co., Ltd"
The Pillsbury Company,EP0920256,The Pillsbury Company
"Samsung Electronics Co., Ltd",EP1365631,"Samsung Electronics Co., Ltd"
Electrolux Professional Spa,EP1913853,Electrolux Professional Spa
"Alternative Pioneering Systems, Inc",EP0607997,"Alternative Pioneering Systems, Inc"
"Alternative Pioneering Systems, Inc",EP0610788,"Alternative Pioneering Systems, Inc"
Jofemar Sa,EP1688894,Jofemar Sa
Ajinomoto Kk,EP0760209,Ajinomoto Kk
John Bean Technologies Ab,CA2776837,John Bean Technologies Ab
Whitford Corporation,CA2737586,Whitford Corporation
"Turbochef, Inc",CA2172714,"Turbochef, Inc"
Tomorrow's Foods Limited,CA2398957,Tomorrow's Foods Limited
George Weston Foods Limited,ZA198809635,George Weston Foods Limited
Beckett Industries Inc,ZA199100736,Beckett Industries Inc
Google Inc,CA2582523,Google Inc
"Computer Associates Think, Inc",IL142564,"Computer Associates Think, Inc"
